datetime,city,state,country,country_label,shape,shape_cleaned,duration (seconds),duration_min,log_duration,latitude,longitude,year,month,hour,day_of_week,day_name,decade,season,is_weekend,time_of_day,comments
1999-11-05 18:15:00,santa clara,ca,us,United States,rectangle,other,600.0,10.0,6.398594934535208,37.3541667,-121.9541667,1999,11,18,4,Friday,1990,Autumn,0,Evening (18–24),On Friday Nov. 5&#44 1999 just before sunset&#44 a gigantic metalic colored dominoe shaped object flew over the San Francisco Bay Area.
1999-11-05 18:44:00,raleigh,nc,us,United States,disk,disk,10.0,0.16666666666666666,2.3978952727983707,35.7719444,-78.6388889,1999,11,18,4,Friday,1990,Autumn,0,Evening (18–24),See Image attached to email&#44 seen this while scanning some online live webcams.
1999-11-05 19:30:00,carbondale,ks,us,United States,disk,disk,300.0,5.0,5.707110264748875,38.8186111,-95.6888889,1999,11,19,4,Friday,1990,Autumn,0,Evening (18–24),Disk hovered in my field for about 5 min. wit no noise. Had red and clear lights on it.
1999-11-05 19:30:00,rancho santa margarita,ca,us,United States,chevron,other,1800.0,30.0,7.496097345175956,33.6408333,-117.6022222,1999,11,19,4,Friday,1990,Autumn,0,Evening (18–24),Seen a Chevron shaped craft in clear skies with no lights or no noise. It moved very graceful&#44 yet crossed the sky at such a fast pace.
1999-01-15 20:00:00,contocook,nh,unknown,Unknown,unknown,unknown,1200.0,20.0,7.0909098220799835,43.222023,-71.713965,1999,1,20,4,Friday,1990,Winter,0,Evening (18–24),Contoocook NH is a very small village.  We were coming off the highway into Contoocook and there were 3 lights in the sky.  Bigger than
1999-01-15 20:43:00,dunkirk,md,us,United States,other,other,30.0,0.5,3.4339872044851463,38.7216667,-76.6608333,1999,1,20,4,Friday,1990,Winter,0,Evening (18–24),Me and a friend viewed a craft.  We turned around to see it again and it had vanished.
1999-01-15 21:00:00,lancaster (near edwards air force base),ca,us,United States,light,light,1200.0,20.0,7.0909098220799835,34.6980556,-118.1358333,1999,1,21,4,Friday,1990,Winter,0,Evening (18–24),Me and a friend were walking through a short field and we looked up and we saw a bright light that was moving rapidly from one directio
1999-01-15 21:30:00,stevens pass,wa,unknown,Unknown,triangle,triangle,120.0,2.0,4.795790545596741,47.746222,-121.085933,1999,1,21,4,Friday,1990,Winter,0,Evening (18–24),Huge cratt silently glides over two snowboarders atop mountain
1999-11-05 21:35:00,springfield (14 mi. s of&#44 near highlandville),mo,us,United States,fireball,fireball,240.0,4.0,5.484796933490655,37.2152778,-93.2980556,1999,11,21,4,Friday,1990,Autumn,0,Evening (18–24),Two strobing white lights very close in the sky&#44 followed by a low flying red fireball at approximately a 20% angle
1999-01-15 22:01:00,lanoka harbor,nj,us,United States,diamond,other,300.0,5.0,5.707110264748875,39.8666667,-74.1683333,1999,1,22,4,Friday,1990,Winter,0,Evening (18–24),craft moved in erratic speeds&#44 with non liner motion. two high intensity white lights&#44 constantly on. one blinking red light.
1999-01-15 22:30:00,olean,ny,us,United States,fireball,fireball,1.0,0.016666666666666666,0.6931471805599453,42.0775,-78.43,1999,1,22,4,Friday,1990,Winter,0,Evening (18–24),Green fire ball appearing to fall at very high velocity
1999-11-05 22:34:00,fair oaks  (facing east look straight up),ca,us,United States,diamond,other,1560.0,26.0,7.353081920515432,38.6447222,-121.2711111,1999,11,22,4,Friday,1990,Autumn,0,Evening (18–24),I was out on the patio looking east admiring the stars&#44 my gaze gradually shifted striaght up and I noticed a faint shimmer and a form.
1999-01-15 23:57:00,stevenage&#44 herts (uk/england),unknown,unknown,Unknown,fireball,fireball,60.0,1.0,4.110873864173311,51.903761,-0.196612,1999,1,23,4,Friday,1990,Winter,0,Evening (18–24),Driving  home past railway station . Saw  ball of light rise up&#44 travel horizontally for approx 100 yrds then unsteadily zig zag until
2000-11-05 01:00:00,peoria,az,us,United States,circle,circle,1500.0,25.0,7.313886831633462,33.5805556,-112.2366667,2000,11,1,6,Sunday,2000,Autumn,1,Night (0–6),The two orange balls were joined by another then the two turned into one red ball then broke into two again before ascending.
2000-01-15 02:45:00,monroe (fairfield county),ct,us,United States,unknown,unknown,10800.0,180.0,9.287394001418473,41.3325,-73.2077778,2000,1,2,5,Saturday,2000,Winter,1,Night (0–6),My friend and I went out to a club&#44 stopped for McDonalds on the way home.  Arrived home around 2:45 AM friday night.  As we pulled in
2000-11-05 05:12:00,plantation,fl,us,United States,teardrop,other,5.0,0.08333333333333333,1.791759469228055,26.1272222,-80.2333333,2000,11,5,6,Sunday,2000,Autumn,1,Night (0–6),craft that turned into a beam of light
2000-01-15 13:52:00,kelowna (canada),bc,ca,Canada,circle,circle,30.0,0.5,3.4339872044851463,49.9,-119.483333,2000,1,13,5,Saturday,2000,Winter,1,Afternoon (12–18),We were returning home from the mall and my attention was drawn to a redish object moving at a very considerable speed in the clear ski
2000-11-05 16:45:00,fort wayne,in,us,United States,formation,formation,600.0,10.0,6.398594934535208,41.1305556,-85.1288889,2000,11,16,6,Sunday,2000,Autumn,1,Afternoon (12–18),A formation of aprrox. 15  objects  were observed for 10 minues in broad daylight in a cloudless  clear sky.
2000-01-15 18:00:00,longview,tx,us,United States,cigar,other,120.0,2.0,4.795790545596741,32.5005556,-94.7402778,2000,1,18,5,Saturday,2000,Winter,1,Evening (18–24),I was standing on my patio looking around my back yard&#44 I glanced up straight ahead. Not up to the sky.I saw two very large red lights
2000-01-15 18:00:00,st. louis,mo,us,United States,unknown,unknown,420.0,7.0,6.042632833682381,38.6272222,-90.1977778,2000,1,18,5,Saturday,2000,Winter,1,Evening (18–24),flashing hot pink lights&#44 no particular pattern&#44 shooting across the sky&#44 up and down&#44 side to side just above the interstate. glowing
2000-01-15 19:00:00,keystone heights,fl,us,United States,circle,circle,3600.0,60.0,8.188966863648876,29.7858333,-82.0316667,2000,1,19,5,Saturday,2000,Winter,1,Evening (18–24),Video taped approx. 3 minutes of stationary round object that darted on video screen.  Numerous colours.
2000-01-15 19:10:00,skowhegan,me,us,United States,oval,oval,300.0,5.0,5.707110264748875,44.765,-69.7197222,2000,1,19,5,Saturday,2000,Winter,1,Evening (18–24),Large UFO.  Oval Shaped.  Brilliant white lights around it with intense red light on top.
2000-01-15 20:00:00,houston,tx,us,United States,triangle,triangle,15.0,0.25,2.772588722239781,29.7630556,-95.3630556,2000,1,20,5,Saturday,2000,Winter,1,Evening (18–24),triangle object bearly moving&#44then almost disappears&#44then dozens of aircraft start appearing and circling sky
2000-01-15 20:00:00,lake charles,la,us,United States,light,light,2400.0,40.0,7.783640596221253,30.2263889,-93.2172222,2000,1,20,5,Saturday,2000,Winter,1,Evening (18–24),There was a UFO in Lake Charles&#44 Louisiana in 2000.
2000-01-15 20:15:00,lake macquarie (nsw&#44 australia),unknown,unknown,Unknown,circle,circle,900.0,15.0,6.803505257608338,-33.093373,151.588982,2000,1,20,5,Saturday,2000,Winter,1,Evening (18–24),At the approx time of 8.15pm a bright circular red light was spotted north east of Lake Macquarie NSW Australia.
2000-01-15 21:00:00,karachi (pakistan),unknown,unknown,Unknown,light,light,120.0,2.0,4.795790545596741,24.861462,67.009939,2000,1,21,5,Saturday,2000,Winter,1,Evening (18–24),2 star like things travelling in a curve shape from west to north east&#44 at equal speed&#44 without blinking in the night for 2-3 minutes.
2000-01-15 22:00:00,channelview,tx,us,United States,unknown,unknown,3600.0,60.0,8.188966863648876,29.7758333,-95.1144444,2000,1,22,5,Saturday,2000,Winter,1,Evening (18–24),I was arriving home from work on the night of 1/15.I happened to look up to see two two large chemtrails crossing each other.I knew tha
2000-01-15 22:00:00,milton,wv,us,United States,light,light,600.0,10.0,6.398594934535208,38.4344444,-82.1325,2000,1,22,5,Saturday,2000,Winter,1,Evening (18–24),A huge&#44  bright &#44 glowing light was seen in the sky above the hills of our property&#44 making no sound whatsoever....
2000-01-15 22:30:00,west fargo,nd,us,United States,sphere,sphere,900.0,15.0,6.803505257608338,46.8772222,-96.7894444,2000,1,22,5,Saturday,2000,Winter,1,Evening (18–24),Bright glowing red orb. Did not emit any smoke&#44 noise&#44 or apparent heat.  Moved at about 10 mph from northwest horizon to southeast hor
2000-01-15 23:00:00,kalamazoo,mi,us,United States,circle,circle,600.0,10.0,6.398594934535208,42.2916667,-85.5872222,2000,1,23,5,Saturday,2000,Winter,1,Evening (18–24),A spinning lighted low down circle UFO.
2000-01-15 23:45:00,houghton lake,mi,us,United States,flash,other,1200.0,20.0,7.0909098220799835,44.3147222,-84.7647222,2000,1,23,5,Saturday,2000,Winter,1,Evening (18–24),Rendezvous of 2 white lights&#44 followed by enormous&#44 pulsing light rings.
2001-01-15 00:20:00,iowa city,ia,us,United States,formation,formation,420.0,7.0,6.042632833682381,41.6611111,-91.53,2001,1,0,0,Monday,2000,Winter,0,Night (0–6),A large flight of glowing discs sighted over Iowa City
2001-01-15 07:45:00,chester,ca,us,United States,rectangle,other,180.0,3.0,5.198497031265826,40.3063889,-121.2308333,2001,1,7,0,Monday,2000,Winter,0,Morning (6–12),Late evening I was cuting wood when a very bright light cought my attenson behind me I turnd around to see a light that was so bright I
2001-11-05 11:30:00,bristol,pa,us,United States,disk,disk,300.0,5.0,5.707110264748875,40.1005556,-74.8522222,2001,11,11,0,Monday,2000,Autumn,0,Morning (6–12),Two disc shaped objects were witnessed on the date seen above. The two objects were blackish and silver hovering over rowhomes on Garde
2001-01-15 18:00:00,glasgow (near) (uk/scotland),unknown,gb,United Kingdom,other,other,5.0,0.08333333333333333,1.791759469228055,55.833333,-4.25,2001,1,18,0,Monday,2000,Winter,0,Evening (18–24),Falling bright light
2001-01-15 19:30:00,sheffield (uk/england),unknown,gb,United Kingdom,other,other,300.0,5.0,5.707110264748875,53.366667,-1.5,2001,1,19,0,Monday,2000,Winter,0,Evening (18–24),i have top footage of this event &#44 and i dont think anyone can question it
2001-01-15 19:45:00,vancouver,wa,us,United States,changing,other,4500.0,75.0,8.412054873292933,45.6388889,-122.6602778,2001,1,19,0,Monday,2000,Winter,0,Evening (18–24),Bright object seen in sky north of Vancouver Wa.
2001-01-15 20:00:00,los angeles,ca,us,United States,light,light,15.0,0.25,2.772588722239781,34.0522222,-118.2427778,2001,1,20,0,Monday,2000,Winter,0,Evening (18–24),POSSIBLE UFO SIGHTING
2001-11-05 20:00:00,roseburg,or,us,United States,light,light,900.0,15.0,6.803505257608338,43.2166667,-123.3405556,2001,11,20,0,Monday,2000,Autumn,0,Evening (18–24),A red light to the north kinda a mass of light seen. leaves lots of people wondering
2001-11-05 21:04:00,elgin,il,us,United States,fireball,fireball,1.0,0.016666666666666666,0.6931471805599453,42.0372222,-88.2811111,2001,11,21,0,Monday,2000,Autumn,0,Evening (18–24),Neon Green Light Spoted in Elgin&#44 IL. 60120  at  21:04 hours Monday&#44 November 5th 2001
2001-11-05 21:25:00,glendale,az,us,United States,circle,circle,6.0,0.1,1.9459101490553132,33.5386111,-112.1852778,2001,11,21,0,Monday,2000,Autumn,0,Evening (18–24),UFO Sighting - Glendale&#44 AZ
2001-11-05 23:30:00,lynnwood,wa,us,United States,triangle,triangle,60.0,1.0,4.110873864173311,47.8211111,-122.3138889,2001,11,23,0,Monday,2000,Autumn,0,Evening (18–24),dark silent triangular object 500 ft above Lynnwood on cloudy night
2002-01-15 01:00:00,philadelphia,pa,us,United States,disk,disk,120.0,2.0,4.795790545596741,39.9522222,-75.1641667,2002,1,1,1,Tuesday,2000,Winter,0,Night (0–6),Pitch BLACK UFO STING RAY SHAPE NO LIGHT OR SOUND
2002-01-15 01:00:00,st. albert (canada),ab,ca,Canada,light,light,120.0,2.0,4.795790545596741,53.633333,-113.633333,2002,1,1,1,Tuesday,2000,Winter,0,Night (0–6),Very cold&#44 small bright (buglike) light&#44 movement around streetlight.
2002-11-05 04:00:00,caribou,me,us,United States,light,light,120.0,2.0,4.795790545596741,46.8605556,-68.0125,2002,11,4,1,Tuesday,2000,Autumn,0,Night (0–6),I went out into the backyard of my property with my dog at 04:00 hours. It was a clear night&#44 without moonlight&#44 to illuminate the nigh
2002-11-05 06:43:00,oklahoma city,ok,us,United States,other,other,40.0,0.6666666666666666,3.713572066704308,35.4675,-97.5161111,2002,11,6,1,Tuesday,2000,Autumn,0,Morning (6–12),Strange Strobing Lights
